"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2011,0,0,25525,797205,0,0,0,0,,25525,797205,2.357864,18797.01,601.84
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2012,0,0,25525,376945,0,0,0,0,,25525,376945,2.341526,8826.28,597.67
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2013,0,0,25525,376945,0,0,0,0,,25525,376945,2.307173,8696.78,588.91
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2003,11250,85565,0,0,0,0,0,0,,11250,85565,2.394463,2048.82,269.38
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2004,11250,1041980,0,0,0,0,0,0,,11250,1041980,2.372993,24726.11,266.96
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2005,10325,1029685,0,0,0,0,0,0,,10325,1029685,2.370005,24403.59,244.7
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2006,10325,1029685,0,0,0,0,0,0,,10325,1029685,2.353769,24236.41,243.03
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2007,10325,1029685,0,0,0,0,0,0,,10325,1029685,2.305825,23742.74,238.07
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2008,25125,1024950,0,0,0,0,0,0,,25125,1024950,2.269981,23266.17,570.29
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2009,25125,1024950,0,0,0,0,0,0,,25125,1024950,2.289484,23466.08,575.2
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2010,25125,1024950,0,0,0,0,0,0,,25125,1024950,2.322425,23803.7,583.55
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2011,15875,1013900,0,0,0,0,0,0,,15875,1013900,2.357864,23906.4,374.31
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2012,10325,1007270,0,0,0,0,0,0,,10325,1007270,2.341526,23585.5,241.76
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessments for the construction of 12 homes to sell to low to moderate income families. Project constructed by local non-profit Housing Development Corporation. Corrected history years 2006 to current for this project and reported Southwood IV TIF separately.",2013,14025,1257660,0,0,0,0,0,0,,14025,1257660,2.307173,29016.4,323.58
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2003,0,0,67230,1305,0,0,0,0,,67230,1305,2.394463,31.25,1609.8
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2004,0,0,67230,511825,0,0,0,0,,67230,511825,2.372993,12145.57,1595.36
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2005,0,0,67230,587100,0,0,0,0,,67230,587100,2.370005,13914.3,1593.35
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2006,0,0,67230,610895,0,0,0,0,,67230,610895,2.353769,14379.06,1582.44
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2007,0,0,67230,656385,0,0,0,0,,67230,656385,2.305825,15135.09,1550.21
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2008,0,0,67230,656385,0,0,0,0,,67230,656385,2.269981,14899.81,1526.11
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2009,0,0,67230,656385,0,0,0,0,,67230,656385,2.289484,15027.83,1539.22
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2010,0,0,67230,670855,0,0,0,0,,67230,670855,2.322425,15580.1,1561.37
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2011,0,0,67230,732850,0,0,0,0,,67230,732850,2.357864,17279.61,1585.19
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2012,0,0,67230,732850,0,0,0,0,,67230,732850,2.341526,17159.88,1574.21
01-0039,ADAMS,1,TIF KENYON ROSS LLC,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Kenyon Ross, LLC
Parts of Lots 5 & 8, all of Lots 6 & 7 and vacated alley abutting said lots, Block 8, St. Joseph Addition.
Description: TIF funds used to pay for demolition of substandard property, clearing of land, land fill fees, parking for public use and landscaping on public terrance for the construction of a new 12,000 sq. ft. commercial building that will house 3 to 5 new businesses.",2013,0,0,67230,732850,0,0,0,0,,67230,732850,2.307173,16908.12,1551.11
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/2003,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2004,0,0,42770,99645,0,0,0,0,,42770,99645,2.372993,2364.57,1014.93
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/2003,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2005,0,0,42770,118160,0,0,0,0,,42770,118160,2.370005,2800.4,1013.65
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/2003,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2006,0,0,42770,118160,0,0,0,0,,42770,118160,2.353769,2781.21,1006.71
